symbol,option_type,strike,bid,ask,volume,open_interest,greeks.delta,greeks.bid_iv,expiration_date
SPY,call,635,2.65,3.09,100,100,-0.45,0.45,2024-06-21
SPY,call,640,2.78,2.88,0,100,-0.48,0.47,2024-06-21
SPY,call,645,1.01,1.31,0,200,-0.48,0.41,2024-06-21
SPY,call,650,4.85,5.12,100,100,-0.16,0.35,2024-06-21
SPY,call,655,3.9,4.09,100,100,-0.22,0.37,2024-06-21
SPY,call,660,4.7,4.85,100,200,-0.31,0.49,2024-06-21
SPY,call,665,4.48,4.72,200,100,-0.46,0.51,2024-06-21
SPY,call,670,3.03,3.51,500,100,-0.3,0.53,2024-06-21
SPY,call,675,4.62,4.85,0,100,-0.31,0.53,2024-06-21
SPY,call,680,0.53,0.84,200,0,-0.43,0.28,2024-06-21
SPY,call,685,1.06,1.44,100,0,-0.33,0.42,2024-06-21
SPY,call,690,0.32,0.57,0,0,-0.34,0.27,2024-06-21
SPY,call,695,1.69,2.18,200,200,-0.25,0.44,2024-06-21
SPY,call,700,2.0,2.48,500,1000,-0.25,0.4,2024-06-21
SPY,call,705,1.43,1.63,200,100,-0.48,0.56,2024-06-21
SPY,call,710,4.16,4.46,500,100,-0.35,0.37,2024-06-21
SPY,call,715,1.85,2.07,100,200,-0.25,0.29,2024-06-21
SPY,call,720,1.48,1.69,500,100,-0.3,0.3,2024-06-21
SPY,call,725,2.76,2.87,0,0,-0.16,0.52,2024-06-21
SPY,call,730,0.79,1.13,100,1000,-0.24,0.47,2024-06-21
SPY,call,735,4.03,4.33,0,500,-0.43,0.29,2024-06-21
SPY,call,740,0.47,0.59,300,100,-0.47,0.28,2024-06-21
SPY,call,745,4.94,5.15,50,0,-0.24,0.5,2024-06-21
SPY,call,750,3.88,4.34,500,500,-0.49,0.28,2024-06-21
SPY,call,755,1.07,1.27,50,1000,-0.27,0.54,2024-06-21
SPY,call,760,0.13,0.29,50,500,-0.12,0.5,2024-06-21
SPY,call,765,4.1,4.4,500,0,-0.27,0.28,2024-06-21
SPY,call,770,3.56,4.05,100,500,-0.34,0.28,2024-06-21
SPY,call,775,3.67,3.87,300,200,-0.24,0.6,2024-06-21
SPY,call,780,3.88,4.25,0,500,-0.32,0.38,2024-06-21
SPY,call,785,0.46,0.86,200,100,-0.28,0.38,2024-06-21
SPY,call,790,1.86,2.06,0,100,-0.12,0.53,2024-06-21
SPY,call,795,0.67,1.06,200,200,-0.35,0.58,2024-06-21
